des,study,TRT,trt,conc,ams,enl,grass,run,rep,ph,chph,perch
4X Enlist Duo + AMS,4,10,19,4x,yes,duo,meh,1,1,5.72,-1.841667,0.243553042
4X Enlist Duo + AMS,4,10,19,4x,yes,duo,meh,1,2,5.72,-1.841667,0.243553042
4X Enlist Duo + AMS,4,10,19,4x,yes,duo,meh,1,3,5.71,-1.851667,0.244875502
4X Enlist Duo + AMS,4,10,19,4x,yes,duo,meh,2,1,5.63,-1.931667,0.255455179
4X Enlist Duo + AMS,4,10,19,4x,yes,duo,meh,2,2,5.63,-1.931667,0.255455179
4X Enlist Duo + AMS,4,10,19,4x,yes,duo,meh,2,3,5.64,-1.921667,0.25413272
1X Enlist Duo + AMS,4,10,20,1x,yes,duo,meh,1,1,5.81,-1.751667,0.231650904
1X Enlist Duo + AMS,4,10,20,1x,yes,duo,meh,1,2,5.81,-1.751667,0.231650904
1X Enlist Duo + AMS,4,10,20,1x,yes,duo,meh,1,3,5.8,-1.761667,0.232973364
1X Enlist Duo + AMS,4,10,20,1x,yes,duo,meh,2,1,5.78,-1.781667,0.235618284
1X Enlist Duo + AMS,4,10,20,1x,yes,duo,meh,2,2,5.78,-1.781667,0.235618284
1X Enlist Duo + AMS,4,10,20,1x,yes,duo,meh,2,3,5.77,-1.791667,0.236940743
Nontreated check,4,,21,none,none,none,none,1,1,7.54,,
Nontreated check,4,,21,none,none,none,none,1,2,7.53,,
Nontreated check,4,,21,none,none,none,none,1,3,7.53,,
Nontreated check,4,,21,none,none,none,none,2,1,7.59,,
Nontreated check,4,,21,none,none,none,none,2,2,7.6,,
Nontreated check,4,,21,none,none,none,none,2,3,7.58,,
