des,study,trt,run,rep,ph,chph,perch
1X Status + Roundup Powermax + AMS,3,12,1,2,4.79,-2.663333,0.357334497
1X Status + Roundup Powermax + AMS,3,12,1,3,4.79,-2.663333,0.357334497
1X Status + Roundup Powermax + AMS,3,12,2,1,4.98,-2.473333,0.331842546
1X Status + Roundup Powermax + AMS,3,12,2,2,4.99,-2.463333,0.330500865
1X Status + Roundup Powermax + AMS,3,12,2,3,4.99,-2.463333,0.330500865
4X Clarity,3,13,1,1,7.18,-0.273333,0.036672587
4X Clarity,3,13,1,2,7.19,-0.263333,0.035330905
4X Clarity,3,13,1,3,7.21,-0.243333,0.032647542
4X Clarity,3,13,2,1,7.16,-0.293333,0.03935595
4X Clarity,3,13,2,2,7.16,-0.293333,0.03935595
4X Clarity,3,13,2,3,7.15,-0.303333,0.040697632
4X Clarity + Durango DMA,3,14,1,1,4.65,-2.803333,0.37611804
4X Clarity + Durango DMA,3,14,1,2,4.66,-2.793333,0.374776358
4X Clarity + Durango DMA,3,14,1,3,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA,3,14,2,1,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,14,2,2,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,14,2,3,4.74,-2.713333,0.364042905
4X Clarity + Roundup Powermax,3,15,1,1,4.61,-2.843333,0.381484767
4X Clarity + Roundup Powermax,3,15,1,2,4.58,-2.873333,0.385509812
4X Clarity + Roundup Powermax,3,15,1,3,4.61,-2.843333,0.381484767
4X Clarity + Roundup Powermax,3,15,2,1,4.69,-2.763333,0.370751314
4X Clarity + Roundup Powermax,3,15,2,2,4.69,-2.763333,0.370751314
4X Clarity + Roundup Powermax,3,15,2,3,4.68,-2.773333,0.372092995
4X Clarity + AMS,3,16,1,1,7.19,-0.263333,0.035330905
4X Clarity + AMS,3,16,1,2,7.2,-0.253333,0.033989223
4X Clarity + AMS,3,16,1,3,7.15,-0.303333,0.040697632
4X Clarity + AMS,3,16,2,1,7.16,-0.293333,0.03935595
4X Clarity + AMS,3,16,2,2,7.15,-0.303333,0.040697632
4X Clarity + AMS,3,16,2,3,7.14,-0.313333,0.042039313
4X Clarity + Durango DMA + AMS,3,17,1,1,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,17,1,2,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,17,1,3,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA + AMS,3,17,2,1,4.75,-2.703333,0.362701224
4X Clarity + Durango DMA + AMS,3,17,2,2,4.74,-2.713333,0.364042905
4X Clarity + Durango DMA + AMS,3,17,2,3,4.74,-2.713333,0.364042905
4X Clarity + Roundup Powermax + AMS,3,18,1,1,4.59,-2.863333,0.38416813
4X Clarity + Roundup Powermax + AMS,3,18,1,2,4.54,-2.913333,0.390876538
4X Clarity + Roundup Powermax + AMS,3,18,1,3,4.58,-2.873333,0.385509812
