des,study,TRT,trt,conc,dic,grass,dra,gr15,run,rep,ph,chph,perch
1X Select Max + Engenia,1,8,16,1x,BAPMA,DIM,none,none,1,2,6.67,-0.786670,0.105498
1X Select Max + Engenia,1,8,16,1x,BAPMA,DIM,none,none,1,3,6.67,-0.786670,0.105498
1X Select Max + Engenia,1,8,16,1x,BAPMA,DIM,none,none,2,1,6.65,-0.806670,0.108181
1X Select Max + Engenia,1,8,16,1x,BAPMA,DIM,none,none,2,2,6.68,-0.776670,0.104157
1X Select Max + Engenia,1,8,16,1x,BAPMA,DIM,none,none,2,3,6.64,-0.816670,0.109522
4X Xtendimax + Roundup Powermax + Intact,1,9,17,4x,DGA+VG,GLY-K,yes,none,1,1,5.08,-2.376670,0.318730
4X Xtendimax + Roundup Powermax + Intact,1,9,17,4x,DGA+VG,GLY-K,yes,none,1,2,5.08,-2.376670,0.318730
4X Xtendimax + Roundup Powermax + Intact,1,9,17,4x,DGA+VG,GLY-K,yes,none,1,3,5.08,-2.376670,0.318730
4X Xtendimax + Roundup Powermax + Intact,1,9,17,4x,DGA+VG,GLY-K,yes,none,2,1,5.14,-2.316670,0.310684
4X Xtendimax + Roundup Powermax + Intact,1,9,17,4x,DGA+VG,GLY-K,yes,none,2,2,5.14,-2.316670,0.310684
4X Xtendimax + Roundup Powermax + Intact,1,9,17,4x,DGA+VG,GLY-K,yes,none,2,3,5.12,-2.336670,0.313366
1X Xtendimax + Roundup Powermax + Intact,1,9,18,1x,DGA+VG,GLY-K,yes,none,1,1,5.14,-2.316670,0.310684
1X Xtendimax + Roundup Powermax + Intact,1,9,18,1x,DGA+VG,GLY-K,yes,none,1,2,5.14,-2.316670,0.310684
1X Xtendimax + Roundup Powermax + Intact,1,9,18,1x,DGA+VG,GLY-K,yes,none,1,3,5.15,-2.306670,0.309343
1X Xtendimax + Roundup Powermax + Intact,1,9,18,1x,DGA+VG,GLY-K,yes,none,2,1,5.16,-2.296670,0.308002
1X Xtendimax + Roundup Powermax + Intact,1,9,18,1x,DGA+VG,GLY-K,yes,none,2,2,5.17,-2.286670,0.306661
1X Xtendimax + Roundup Powermax + Intact,1,9,18,1x,DGA+VG,GLY-K,yes,none,2,3,5.18,-2.276670,0.305320
4X Select Max + Xtendimax + Intact,1,10,19,4x,DGA+VG,DIM,yes,none,1,1,5.63,-1.826670,0.244971
4X Select Max + Xtendimax + Intact,1,10,19,4x,DGA+VG,DIM,yes,none,1,2,5.61,-1.846670,0.247653
4X Select Max + Xtendimax + Intact,1,10,19,4x,DGA+VG,DIM,yes,none,1,3,5.61,-1.846670,0.247653
4X Select Max + Xtendimax + Intact,1,10,19,4x,DGA+VG,DIM,yes,none,2,1,5.6,-1.856670,0.248994
4X Select Max + Xtendimax + Intact,1,10,19,4x,DGA+VG,DIM,yes,none,2,2,5.7,-1.756670,0.235583
4X Select Max + Xtendimax + Intact,1,10,19,4x,DGA+VG,DIM,yes,none,2,3,5.59,-1.866670,0.250335
1X Select Max + Xtendimax + Intact,1,10,20,1x,DGA+VG,DIM,yes,none,1,1,6.36,-1.096670,0.147072
1X Select Max + Xtendimax + Intact,1,10,20,1x,DGA+VG,DIM,yes,none,1,2,6.37,-1.086670,0.145731
1X Select Max + Xtendimax + Intact,1,10,20,1x,DGA+VG,DIM,yes,none,1,3,6.43,-1.026670,0.137684
1X Select Max + Xtendimax + Intact,1,10,20,1x,DGA+VG,DIM,yes,none,2,1,6.38,-1.076670,0.144390
1X Select Max + Xtendimax + Intact,1,10,20,1x,DGA+VG,DIM,yes,none,2,2,6.39,-1.066670,0.143049
1X Select Max + Xtendimax + Intact,1,10,20,1x,DGA+VG,DIM,yes,none,2,3,6.4,-1.056670,0.141708
4X Engenia + Roundup Powermax + Intact,1,11,21,4x,BAPMA,GLY-K,yes,none,1,1,4.71,-2.746670,0.368350
4X Engenia + Roundup Powermax + Intact,1,11,21,4x,BAPMA,GLY-K,yes,none,1,2,4.71,-2.746670,0.368350
4X Engenia + Roundup Powermax + Intact,1,11,21,4x,BAPMA,GLY-K,yes,none,1,3,4.7,-2.756670,0.369692
4X Engenia + Roundup Powermax + Intact,1,11,21,4x,BAPMA,GLY-K,yes,none,2,1,4.79,-2.666670,0.357622
4X Engenia + Roundup Powermax + Intact,1,11,21,4x,BAPMA,GLY-K,yes,none,2,2,4.78,-2.676670,0.358963
4X Engenia + Roundup Powermax + Intact,1,11,21,4x,BAPMA,GLY-K,yes,none,2,3,4.77,-2.686670,0.360304
1X Engenia + Roundup Powermax + Intact,1,11,22,1x,BAPMA,GLY-K,yes,none,1,1,4.94,-2.516670,0.337506
1X Engenia + Roundup Powermax + Intact,1,11,22,1x,BAPMA,GLY-K,yes,none,1,2,4.94,-2.516670,0.337506
1X Engenia + Roundup Powermax + Intact,1,11,22,1x,BAPMA,GLY-K,yes,none,1,3,4.95,-2.506670,0.336165
1X Engenia + Roundup Powermax + Intact,1,11,22,1x,BAPMA,GLY-K,yes,none,2,1,4.92,-2.536670,0.340188
1X Engenia + Roundup Powermax + Intact,1,11,22,1x,BAPMA,GLY-K,yes,none,2,2,4.94,-2.516670,0.337506
1X Engenia + Roundup Powermax + Intact,1,11,22,1x,BAPMA,GLY-K,yes,none,2,3,4.95,-2.506670,0.336165
4X Select Max + Engenia + Intact,1,12,23,4x,BAPMA,DIM,yes,none,1,1,6.57,-0.886670,0.118909
4X Select Max + Engenia + Intact,1,12,23,4x,BAPMA,DIM,yes,none,1,2,6.55,-0.906670,0.121591
4X Select Max + Engenia + Intact,1,12,23,4x,BAPMA,DIM,yes,none,1,3,6.58,-0.876670,0.117568
4X Select Max + Engenia + Intact,1,12,23,4x,BAPMA,DIM,yes,none,2,1,6.56,-0.896670,0.120250
4X Select Max + Engenia + Intact,1,12,23,4x,BAPMA,DIM,yes,none,2,2,6.57,-0.886670,0.118909
4X Select Max + Engenia + Intact,1,12,23,4x,BAPMA,DIM,yes,none,2,3,6.56,-0.896670,0.120250
1X Select Max + Engenia + Intact,1,12,24,1x,BAPMA,DIM,yes,none,1,1,6.68,-0.776670,0.104157
1X Select Max + Engenia + Intact,1,12,24,1x,BAPMA,DIM,yes,none,1,2,6.68,-0.776670,0.104157
1X Select Max + Engenia + Intact,1,12,24,1x,BAPMA,DIM,yes,none,1,3,6.67,-0.786670,0.105498
1X Select Max + Engenia + Intact,1,12,24,1x,BAPMA,DIM,yes,none,2,1,6.66,-0.796670,0.106840
1X Select Max + Engenia + Intact,1,12,24,1x,BAPMA,DIM,yes,none,2,2,6.67,-0.786670,0.105498
1X Select Max + Engenia + Intact,1,12,24,1x,BAPMA,DIM,yes,none,2,3,6.69,-0.766670,0.102816
