des,study,TRT,trt,conc,ams,dic,gly,run,rep,ph,chph,perch
1X Diflexx Duo + Roundup Powermax,3,7,14,1x,none,DGA+TMB,GLY-K,2,3,4.54,-2.913333,0.390876538
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,1,1,4.61,-2.843333,0.381484767
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,1,2,4.62,-2.833333,0.380143085
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,1,3,4.63,-2.823333,0.378801403
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,2,1,4.8,-2.653333,0.355992816
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,2,2,4.81,-2.643333,0.354651134
4X Status + Roundup Powermax,3,8,15,4x,none,NA+DIF,GLY-K,2,3,4.8,-2.653333,0.355992816
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,1,1,4.79,-2.663333,0.357334497
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,1,2,4.84,-2.613333,0.350626089
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,1,3,4.87,-2.583333,0.346601044
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,2,1,4.94,-2.513333,0.337209273
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,2,2,4.96,-2.493333,0.334525909
1X Status + Roundup Powermax,3,8,16,1x,none,NA+DIF,GLY-K,2,3,5.03,-2.423333,0.325134138
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,1,1,4.65,-2.803333,0.37611804
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,1,2,4.66,-2.793333,0.374776358
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,1,3,4.67,-2.783333,0.373434677
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,2,1,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,2,2,4.76,-2.693333,0.361359542
4X Clarity + Durango DMA,3,9,17,4x,none,DGA,DMA,2,3,4.74,-2.713333,0.364042905
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,1,1,4.94,-2.513333,0.337209273
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,1,2,4.92,-2.533333,0.339892636
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,1,3,4.94,-2.513333,0.337209273
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,2,1,5.03,-2.423333,0.325134138
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,2,2,5.03,-2.423333,0.325134138
1X Clarity + Durango DMA,3,9,18,1x,none,DGA,DMA,2,3,5.02,-2.433333,0.32647582
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,1,1,4.59,-2.863333,0.38416813
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,1,2,4.58,-2.873333,0.385509812
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,1,3,4.58,-2.873333,0.385509812
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,2,1,4.35,-3.103333,0.416368489
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,2,2,4.4,-3.053333,0.409660081
4X Diflexx + Durango DMA,3,10,19,4x,none,DGA+CYP,DMA,2,3,4.4,-3.053333,0.409660081
1X Diflexx + Durango DMA,3,10,20,1x,none,DGA+CYP,DMA,1,1,4.9,-2.553333,0.342575999
1X Diflexx + Durango DMA,3,10,20,1x,none,DGA+CYP,DMA,1,2,4.91,-2.543333,0.341234318
1X Diflexx + Durango DMA,3,10,20,1x,none,DGA+CYP,DMA,1,3,4.93,-2.523333,0.338550954
1X Diflexx + Durango DMA,3,10,20,1x,none,DGA+CYP,DMA,2,1,4.72,-2.733333,0.366726269
1X Diflexx + Durango DMA,3,10,20,1x,none,DGA+CYP,DMA,2,2,4.74,-2.713333,0.364042905
1X Diflexx + Durango DMA,3,10,20,1x,none,DGA+CYP,DMA,2,3,4.74,-2.713333,0.364042905
4X Diflexx Duo + Durango DMA,3,11,21,4x,none,DGA+TMB,DMA,1,1,4.34,-3.113333,0.417710171
4X Diflexx Duo + Durango DMA,3,11,21,4x,none,DGA+TMB,DMA,1,2,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA,3,11,21,4x,none,DGA+TMB,DMA,1,3,4.43,-3.023333,0.405635036
4X Diflexx Duo + Durango DMA,3,11,21,4x,none,DGA+TMB,DMA,2,1,4.33,-3.123333,0.419051852
4X Diflexx Duo + Durango DMA,3,11,21,4x,none,DGA+TMB,DMA,2,2,4.34,-3.113333,0.417710171
4X Diflexx Duo + Durango DMA,3,11,21,4x,none,DGA+TMB,DMA,2,3,4.34,-3.113333,0.417710171
1X Diflexx Duo + Durango DMA,3,11,22,1x,none,DGA+TMB,DMA,1,1,4.65,-2.803333,0.37611804
1X Diflexx Duo + Durango DMA,3,11,22,1x,none,DGA+TMB,DMA,1,2,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,11,22,1x,none,DGA+TMB,DMA,1,3,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,11,22,1x,none,DGA+TMB,DMA,2,1,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,11,22,1x,none,DGA+TMB,DMA,2,2,4.66,-2.793333,0.374776358
1X Diflexx Duo + Durango DMA,3,11,22,1x,none,DGA+TMB,DMA,2,3,4.66,-2.793333,0.374776358
4X Status + Durango DMA,3,12,23,4x,none,NA+DIF,DMA,1,1,4.76,-2.693333,0.361359542
4X Status + Durango DMA,3,12,23,4x,none,NA+DIF,DMA,1,2,4.75,-2.703333,0.362701224
4X Status + Durango DMA,3,12,23,4x,none,NA+DIF,DMA,1,3,4.76,-2.693333,0.361359542
4X Status + Durango DMA,3,12,23,4x,none,NA+DIF,DMA,2,1,4.85,-2.603333,0.349284407
4X Status + Durango DMA,3,12,23,4x,none,NA+DIF,DMA,2,2,4.84,-2.613333,0.350626089
4X Status + Durango DMA,3,12,23,4x,none,NA+DIF,DMA,2,3,4.85,-2.603333,0.349284407
1X Status + Durango DMA,3,12,24,1x,none,NA+DIF,DMA,1,1,4.93,-2.523333,0.338550954
1X Status + Durango DMA,3,12,24,1x,none,NA+DIF,DMA,1,2,4.93,-2.523333,0.338550954
1X Status + Durango DMA,3,12,24,1x,none,NA+DIF,DMA,1,3,4.95,-2.503333,0.335867591
1X Status + Durango DMA,3,12,24,1x,none,NA+DIF,DMA,2,1,4.99,-2.463333,0.330500865
1X Status + Durango DMA,3,12,24,1x,none,NA+DIF,DMA,2,2,5.01,-2.443333,0.327817501
1X Status + Durango DMA,3,12,24,1x,none,NA+DIF,DMA,2,3,5.03,-2.423333,0.325134138
4X Clarity + AMS,3,13,25,4x,yes,DGA,none,1,1,7.19,-0.263333,0.035330905
4X Clarity + AMS,3,13,25,4x,yes,DGA,none,1,2,7.2,-0.253333,0.033989223
4X Clarity + AMS,3,13,25,4x,yes,DGA,none,1,3,7.15,-0.303333,0.040697632
4X Clarity + AMS,3,13,25,4x,yes,DGA,none,2,1,7.16,-0.293333,0.03935595
4X Clarity + AMS,3,13,25,4x,yes,DGA,none,2,2,7.15,-0.303333,0.040697632
4X Clarity + AMS,3,13,25,4x,yes,DGA,none,2,3,7.14,-0.313333,0.042039313
1X Clarity + AMS,3,13,26,1x,yes,DGA,none,1,1,7.25,-0.203333,0.027280815
1X Clarity + AMS,3,13,26,1x,yes,DGA,none,1,2,7.27,-0.183333,0.024597452
1X Clarity + AMS,3,13,26,1x,yes,DGA,none,1,3,7.28,-0.173333,0.02325577
1X Clarity + AMS,3,13,26,1x,yes,DGA,none,2,1,7.2,-0.253333,0.033989223
1X Clarity + AMS,3,13,26,1x,yes,DGA,none,2,2,7.22,-0.233333,0.03130586
1X Clarity + AMS,3,13,26,1x,yes,DGA,none,2,3,7.23,-0.223333,0.029964178
4X Diflexx + AMS,3,14,27,4x,yes,DGA+CYP,none,1,1,3.73,-3.723333,0.49955275
4X Diflexx + AMS,3,14,27,4x,yes,DGA+CYP,none,1,2,3.71,-3.743333,0.502236114
4X Diflexx + AMS,3,14,27,4x,yes,DGA+CYP,none,1,3,3.71,-3.743333,0.502236114
4X Diflexx + AMS,3,14,27,4x,yes,DGA+CYP,none,2,1,3.5,-3.953333,0.530411428
4X Diflexx + AMS,3,14,27,4x,yes,DGA+CYP,none,2,2,3.52,-3.933333,0.527728065
4X Diflexx + AMS,3,14,27,4x,yes,DGA+CYP,none,2,3,3.53,-3.923333,0.526386383
1X Diflexx + AMS,3,14,28,1x,yes,DGA+CYP,none,1,1,6.34,-1.113333,0.149373844
1X Diflexx + AMS,3,14,28,1x,yes,DGA+CYP,none,1,2,6.34,-1.113333,0.149373844
1X Diflexx + AMS,3,14,28,1x,yes,DGA+CYP,none,1,3,6.32,-1.133333,0.152057207
1X Diflexx + AMS,3,14,28,1x,yes,DGA+CYP,none,2,1,6.31,-1.143333,0.153398889
